Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
Sherlock Holmes: A Game of Shadows,1,128,PG-13,125,112,3703,39637079,186848418,60,77,2011,12,17.49527558,18.6438243,8.216898581,19.04580825
Thor,1,115,PG-13,150,112,3963,65723338,181030624,77,76,2011,5,18.00096464,18.82614585,8.284756593,19.01417677
Rise of the Planet of the Apes,1,110,PG-13,93,132,3691,54806191,176760185,82,77,2011,8,17.81931372,18.34811005,8.213652703,18.99030448
Captain America: The First Avenger,1,125,PG-13,140,112,3715,65058524,176654505,79,74,2011,7,17.99079779,18.75715298,8.220133957,18.98970643
The Help,1,137,PG-13,25,212,3014,26044590,169708112,76,89,2011,8,17.07532063,17.03438638,8.011023379,18.94959053
Bridesmaids,1,125,R,32.5,140,2958,26247410,169106725,90,76,2011,5,17.08307788,17.29675065,7.992268643,18.94604058
Kung Fu Panda 2,1,91,PG,150,127,3952,47656302,165249063,81,74,2011,5,17.67952544,18.82614585,8.281977059,18.92296437
Puss in Boots,1,90,PG,130,126,3963,34077439,149260504,84,68,2011,10,17.34414611,18.68304501,8.284756593,18.82120369
X-Men: First Class,1,131,PG-13,160,119,3692,55101604,146408305,87,87,2011,6,17.82468938,18.89068437,8.213923596,18.80190989
Rio,1,96,G,90,147,3842,39225962,143619809,72,71,2011,4,17.48484938,18.31532023,8.253748343,18.78268015
The Smurfs,1,86,PG,110,140,3427,35611637,142614158,22,44,2011,7,17.38818302,18.51599092,8.139440522,18.77565335
Alvin and the Chipmunks: Chipwrecked,1,87,G,75,175,3734,23244744,133110742,12,52,2011,12,16.9615896,18.13299867,8.225235324,18.70669199
Super 8,1,112,PG-13,50,112,3424,35451168,127004179,82,75,2011,6,17.38366676,17.72753356,8.138564737,18.65973055
Rango,1,107,PG,135,125,3923,38079323,123477607,88,69,2011,3,17.45518199,18.72078534,8.274611946,18.63157038
Horrible Bosses,1,100,R,35,112,3134,28302165,117538559,69,70,2011,7,17.15844886,17.37085862,8.050065423,18.582277
Green Lantern,1,105,PG-13,200,105,3816,53174303,116601172,26,46,2011,6,17.78908581,19.11382792,8.246958033,18.57426988
Hop,1,90,PG,63,77,3616,37543710,108085305,25,53,2011,4,17.44101641,17.95864528,8.193123722,18.49843133
