Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
Somewhere,0,98,R,7,72,83,119086,1785645,72,47,2010,12,11.6876012001553,15.7614207070196,4.4188406077966,14.3952902524645
Flipped,1,90,PG,14,70,442,224233,1755212,55,78,2010,8,12.3204409687977,16.4545678875795,6.0913098820777,14.3781002053074
The Joneses,0,95,R,10,91,217,509689,1475746,62,46,2010,4,13.1415560147729,16.1180956509583,5.37989735354046,14.2046741826131
Mother and Child,1,125,R,7,168,119,43040,1110509,79,76,2010,5,10.6698851948357,15.7614207070196,4.77912349311153,13.9203290267412
Made in Dagenham,1,113,R,7.2,147,89,37563,1095369,80,75,2010,11,10.5337748023371,15.7895915839863,4.48863636973214,13.906601850767
La Mission,0,117,R,3,122,47,49046,1062941,48,73,2010,4,10.8005139122288,14.9141228466324,3.85014760171006,13.8765501524912
Buried,1,100,R,2,49,107,100268,1044143,87,64,2010,9,11.5156018801736,14.5086577385242,4.67282883446191,13.8587070112248
The Perfect Game,0,118,PG,12.5,28,417,511698,1037071,57,68,2010,4,13.1454898862454,16.3412392022725,6.0330862217988,13.8519109515989
What If...,0,100,PG,,188,82,49770,814906,40,65,2010,8,10.8151676718526,,4.40671924726425,13.6108280481478
Middle Men,0,105,R,20,20,252,325641,754301,40,56,2010,8,12.693550826559,16.8112428315183,5.52942908751142,13.5335467715733
The Virginity Hit,1,86,R,2,13,700,301885,636706,29,31,2010,9,12.6178014291343,14.5086577385242,6.5510803350434,13.3640632895511
Howl,0,90,R,,139,29,51185,617334,63,58,2010,9,10.8432017993539,,3.36729582998647,13.3331654854332
All Good Things,0,101,R,20,126,35,37172,582024,32,38,2010,12,10.5233110686772,16.8112428315183,3.55534806148941,13.2742669629768
Jack Goes Boating,0,89,R,,91,90,28916,541992,68,49,2010,9,10.2721503541202,,4.49980967033027,13.2030065201653
Standing Ovation,0,106,PG,5.6,14,625,343125,531806,6,48,2010,7,12.7458500912459,15.5382771557054,6.4377516497364,13.1840340401644
Preacher's Kid,0,101,PG-13,7,77,109,190638,515065,50,64,2010,1,12.1581316207398,15.7614207070196,4.69134788222914,13.1520483852738
The City of Your Final Destination,0,114,PG-13,8.3,122,26,24401,493296,38,38,2010,4,10.102379394048,15.9317660727668,3.25809653802148,13.108864678533
The Extra Man,0,108,R,7,91,33,18861,453377,43,38,2010,7,9.84485157705117,15.7614207070196,3.49650756146648,13.0244792879347
I'm Still Here,0,108,R,,56,120,96658,408983,53,38,2010,9,11.4789342541029,,4.78749174278205,12.9214288693689
Harry Potter and the Deathly Hallows Part 2,1,130,PG-13,125,133,4375,169189427,381011219,96,89,2011,7,18.9465295150043,18.6438242952666,8.38366179879172,19.7583393788517
Transformers: Dark of the Moon,1,154,PG-13,195,107,4088,97852865,352390543,36,56,2011,6,18.3989755308872,19.088510116528,8.31581113188354,19.6802506156844
