API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
4232936576,12.75,Casing,35,275,6/16/2010 12:00:00 AM,288,,17.5,b0dd6bb5-d06e-486b-8f56-a83cfab34e8b
4232936576,4.5,Casing,11.6,1080,6/16/2010 12:00:00 AM,10170,4250,7.875,b0dd6bb5-d06e-486b-8f56-a83cfab34e8b
4232936576,8.625,Casing,32,475,6/16/2010 12:00:00 AM,5086,3149,11,b0dd6bb5-d06e-486b-8f56-a83cfab34e8b
4232930247,,Casing,0,0,,0,,,048b3fa7-4e6d-4275-97d7-275cb946aaec
4232930247,8.625,Casing,24,200,,326,,11,048b3fa7-4e6d-4275-97d7-275cb946aaec
4232930247,4.5,Casing,11.6,650,,9150,,7.875,048b3fa7-4e6d-4275-97d7-275cb946aaec
4232936549,5.5,Casing,17,1090,11/20/2010 12:00:00 AM,10307,5165,7.875,c2bc8618-0b22-4a24-b056-0c512d57b712
4232936549,8.625,Casing,32,1890,11/20/2010 12:00:00 AM,5426,2520,12.25,c2bc8618-0b22-4a24-b056-0c512d57b712
4232936549,13.375,Casing,48,342,11/20/2010 12:00:00 AM,360,,17.5,c2bc8618-0b22-4a24-b056-0c512d57b712
4232936548,8.625,Casing,32,1690,8/20/2010 12:00:00 AM,5500,,11,d6778925-4f2e-413f-8583-4960e94c8cf0
4232936548,13.375,Casing,48,400,8/20/2010 12:00:00 AM,348,,17.5,d6778925-4f2e-413f-8583-4960e94c8cf0
4232936548,5.5,Casing,17,695,8/20/2010 12:00:00 AM,10037,7060,7.875,d6778925-4f2e-413f-8583-4960e94c8cf0
4232936582,4.5,Casing,11.6,1110,8/28/2010 12:00:00 AM,10400,4700,7.875,2b81fb0d-9de0-442b-8a5a-2ece17002c49
4232936582,8.625,Casing,24,325,8/28/2010 12:00:00 AM,495,0,12.25,2b81fb0d-9de0-442b-8a5a-2ece17002c49
4232936475,13.375,Casing,48,380,4/23/2010 12:00:00 AM,321,,17.5,001f1377-3466-48b5-8ffe-309a82f96fb8
4232936475,5.5,Casing,17,1230,4/23/2010 12:00:00 AM,10583,6090,7.875,001f1377-3466-48b5-8ffe-309a82f96fb8
4232936475,8.625,Casing,32,1065,4/23/2010 12:00:00 AM,5091,2087,11,001f1377-3466-48b5-8ffe-309a82f96fb8
4232932461,5.5,Liner,,750,5/5/2020 12:00:00 AM,10635,4395,,5754a14d-7e15-423b-9a13-39615cc9aac8
4232932461,8.625,Casing,32,1600,5/5/2020 12:00:00 AM,4812,800,11,5754a14d-7e15-423b-9a13-39615cc9aac8
4232932461,5.5,Liner,,600,2/7/1992 12:00:00 AM,10635,4395,,5754a14d-7e15-423b-9a13-39615cc9aac8
4232932461,5.5,Liner,48,750,5/5/2020 12:00:00 AM,10635,4395,,5754a14d-7e15-423b-9a13-39615cc9aac8
4232932461,5.5,Liner,48,750,,10635,4395,,5754a14d-7e15-423b-9a13-39615cc9aac8
4232936584,8.625,Casing,32,545,6/27/2010 12:00:00 AM,5020,2005,11,20c92d23-06ab-460c-b54c-a22c9212e368
4232936584,12.75,Casing,35,340,6/27/2010 12:00:00 AM,301,,17.5,20c92d23-06ab-460c-b54c-a22c9212e368
4232936584,5.5,Casing,17,1055,6/27/2010 12:00:00 AM,10576,3526,7.875,20c92d23-06ab-460c-b54c-a22c9212e368
4232930421,2.875,Liner,,75,10/1/1993 12:00:00 AM,13968,13400,,5b03283f-f300-4015-84c3-3c622bed4e23
