API,Date,Field,Formation,Lease,Operator,Pool,CO2Injection,GasInjection,OtherInjection,TubingPressure,WaterInjection,WellId
04030129240000,4/1/2017 12:00:00 AM,Kern River,KERN RIVER,<BLANK>,CHEVRON USA INC,KERN RIVER,0,0,0,117,145,94e74be1-2ec5-4e7e-b638-16d44b30d965
04030414850000,9/1/2017 12:00:00 AM,Midway-Sunset,,Maxwell,AERA ENERGY LLC,,0,0,0,0,4182,78c2685c-0505-4eb2-a3e0-221e4a533d41
04030415980000,11/1/2013 12:00:00 AM,Cymric,TULARE,,CHEVRON USA INC,TULARE,0,0,0,988,15660,a3253113-6c83-431b-ae7e-7c91bfbba936
04030068340000,3/1/2016 12:00:00 AM,Midway-Sunset,,Neely,AERA ENERGY LLC,,0,0,0,441,6958,65f9ea1f-b029-499f-82cc-91436d23b540
04029821550000,12/1/2013 12:00:00 AM,Midway-Sunset,,<BLANK>,CHEVRON USA INC,,0,0,0,51,1805,cffd008e-eef5-4d02-938f-6118655f9e46
04030384180000,4/1/2011 12:00:00 AM,"Belridge, South",TULARE,Hopkins,SENTINEL PEAK RESOURCES CA LLC,TULARE,0,0,0,0,15457,63a5253e-e949-4235-a15f-b4c12e103981
04030130150000,2/1/2013 12:00:00 AM,Midway-Sunset,,<BLANK>,CHEVRON USA INC,,0,0,0,68,253,c65a6751-7dd9-41eb-97e3-4b368be27572
04030460810000,4/1/2013 12:00:00 AM,Kern River,KERN RIVER,Orient,CHEVRON USA INC,KERN RIVER,0,0,0,137,137,69f45bd6-7056-4156-b9de-57e70a851c97
04030436330000,8/1/2015 12:00:00 AM,Midway-Sunset,,Kelly,SENTINEL PEAK RESOURCES CA LLC,,0,0,0,0,3024,317dcb33-05dc-48b9-b689-8897695e37a0
04029821550000,5/1/2003 12:00:00 AM,Midway-Sunset,,<BLANK>,CHEVRON USA INC,,0,0,0,0,1114,cffd008e-eef5-4d02-938f-6118655f9e46
04030436330000,6/1/2017 12:00:00 AM,Midway-Sunset,,Kelly,SENTINEL PEAK RESOURCES CA LLC,,0,0,0,600,3808,317dcb33-05dc-48b9-b689-8897695e37a0
04030164070000,12/1/2014 12:00:00 AM,Cymric,TULARE,McKittrick Fee,CHEVRON USA INC,TULARE,0,0,0,100,4124,4ddb09d4-be34-484d-83b5-19272adc5b1c
04029867080000,3/1/1991 12:00:00 AM,Midway-Sunset,,<BLANK>,CHEVRON USA INC,,0,0,0,802,3988,c79f856f-63e3-4b50-9e34-4c425bff7d86
04029821550000,3/1/2013 12:00:00 AM,Midway-Sunset,,<BLANK>,CHEVRON USA INC,,0,0,0,45,395,cffd008e-eef5-4d02-938f-6118655f9e46
04030112920000,1/1/2007 12:00:00 AM,Kern River,KERN RIVER,<BLANK>,CHEVRON USA INC,KERN RIVER,0,0,0,27,442,5f654372-c963-4cbd-99ee-c1a47275142d
04030335780000,8/1/2013 12:00:00 AM,Midway-Sunset,,,CHEVRON USA INC,,0,0,0,63,395,3a50b637-9206-43ca-9bf9-b5e0199b497a
04030178660000,3/1/2008 12:00:00 AM,Midway-Sunset,,Moco 34,AERA ENERGY LLC,,0,0,0,530,500,3591afdb-2b37-426e-a555-2fcf75945bcd
04029597280000,10/1/1990 12:00:00 AM,Mount Poso,PYRAMID HILL,Security,CALIFORNIA RESOURCES PRODUCTION CORP,PYRAMID HILL,0,0,0,260,42755,b7286997-d0fa-4f1b-97cc-b3e4e55c4306
04030355050000,1/1/2013 12:00:00 AM,Kern Front,ETCHEGOIN,,CALIFORNIA RESOURCES PRODUCTION CORP,ETCHEGOIN,0,0,0,0,6419,32dd7b7e-eab4-4fbd-a8f8-ea0840c0f269
04029508160000,12/1/1986 12:00:00 AM,Kern River,KERN RIVER,Kern County Land Co. Lease 39,CHEVRON USA INC,KERN RIVER,0,0,0,0,7768,0b99ee85-fca0-41bc-bc3a-883463954362
04029787750000,8/1/1988 12:00:00 AM,Kern River,KERN RIVER,Dick,CHEVRON USA INC,KERN RIVER,0,0,0,275,2352,2bae98bc-6857-4a73-b3e2-1afd33c4fa80
04030261120000,10/1/2013 12:00:00 AM,Midway-Sunset,,,CHEVRON USA INC,,0,0,0,72,444,5ead3be4-845c-488a-916e-3337deaa2707
04030266280000,12/1/2005 12:00:00 AM,Lost Hills,TULARE,Lost Hills C,AERA ENERGY LLC,TULARE,0,0,0,350,667,97be9bca-b2b5-4e71-a833-80825f393440
04030068340000,10/1/2004 12:00:00 AM,Midway-Sunset,,Neely,AERA ENERGY LLC,,0,0,0,397,11224,65f9ea1f-b029-499f-82cc-91436d23b540
04029534740000,12/1/2013 12:00:00 AM,Kern River,KERN RIVER,Clampitt,CHEVRON USA INC,KERN RIVER,0,0,0,19,111,99438828-de8b-463a-b35c-e97cff18df8e
04030164070000,1/1/2011 12:00:00 AM,Cymric,TULARE,McKittrick Fee,CHEVRON USA INC,TULARE,0,0,0,109,2787,4ddb09d4-be34-484d-83b5-19272adc5b1c
04030345090000,6/1/2013 12:00:00 AM,Kern River,KERN RIVER,Missouri,CHEVRON USA INC,KERN RIVER,0,0,0,72,141,296560a8-ccf2-47bd-8fdc-8cc54a1699bc
04030158750000,7/1/2016 12:00:00 AM,Kern River,KERN RIVER,Green & Whittier,CHEVRON USA INC,KERN RIVER,0,0,0,35,157,b1d8069c-c353-410e-bc15-e443848fb582
04030415540000,3/1/2013 12:00:00 AM,Midway-Sunset,,,CHEVRON USA INC,,0,0,0,0,12594,db6df2e4-72b4-4ced-89cf-f35102b2fe41
04030436330000,2/1/2016 12:00:00 AM,Midway-Sunset,,Kelly,SENTINEL PEAK RESOURCES CA LLC,,0,0,0,0,2039,317dcb33-05dc-48b9-b689-8897695e37a0
04030261150000,7/1/2007 12:00:00 AM,Midway-Sunset,,,CHEVRON USA INC,,0,0,0,7,220,d7205502-df3c-466f-b3b9-3abba4a61b60
04030327530000,10/1/2017 12:00:00 AM,Midway-Sunset,,USL,SENTINEL PEAK RESOURCES CA LLC,,0,0,0,127,566,e44152e1-ad67-449c-807a-a27d7008def2
04029807460000,7/1/1988 12:00:00 AM,McKittrick,UPPER,Calso,AERA ENERGY LLC,UPPER,0,0,0,420,20053,399c42a6-e33b-48d4-a275-15869b3bb83f
04030041660000,5/1/2009 12:00:00 AM,Midway-Sunset,,Maxwell,AERA ENERGY LLC,,0,0,0,500,1589,45a10f02-93c2-4095-b4cf-7db3668fa105
04030422390000,10/1/2015 12:00:00 AM,Kern River,KERN RIVER,Globe,CHEVRON USA INC,KERN RIVER,0,0,0,100,121,a7ec266c-e349-4e22-8f23-c6b1b649f074
04030511210000,1/1/2017 12:00:00 AM,Cymric,TULARE,,CHEVRON USA INC,TULARE,0,0,0,35,2923,0046d029-03e3-482e-b6ea-eee11e360bc5
04030422390000,5/1/2013 12:00:00 AM,Kern River,KERN RIVER,Globe,CHEVRON USA INC,KERN RIVER,0,0,0,96,112,a7ec266c-e349-4e22-8f23-c6b1b649f074
04030317280000,6/1/2015 12:00:00 AM,Kern River,KERN RIVER,Kern,CHEVRON USA INC,KERN RIVER,0,0,0,34,125,93e305af-a7e8-411d-a163-d8f4f27eaf66
04030497650000,11/1/2014 12:00:00 AM,Cymric,TULARE,,CHEVRON USA INC,TULARE,0,0,0,555,23502,d52afa68-281c-4cb1-94a4-c9d8e4fa0653
04030582880000,5/1/2016 12:00:00 AM,Cymric,TULARE,,CHEVRON USA INC,TULARE,0,0,0,814,23740,dd264fe9-788f-4cbe-b024-4e9b13c4928d
04030460810000,7/1/2015 12:00:00 AM,Kern River,KERN RIVER,Orient,CHEVRON USA INC,KERN RIVER,0,0,0,110,389,69f45bd6-7056-4156-b9de-57e70a851c97
04030282220000,4/1/2015 12:00:00 AM,Midway-Sunset,,,CHEVRON USA INC,,0,0,0,61,330,d66855ae-449a-421e-b076-a180dc424ee6
04029867080000,8/1/1995 12:00:00 AM,Midway-Sunset,,<BLANK>,CHEVRON USA INC,,0,0,0,478,5043,c79f856f-63e3-4b50-9e34-4c425bff7d86
04029508160000,3/1/1979 12:00:00 AM,Kern River,KERN RIVER,Kern County Land Co. Lease 39,CHEVRON USA INC,KERN RIVER,0,0,0,0,11774,0b99ee85-fca0-41bc-bc3a-883463954362
04030535970000,7/1/2015 12:00:00 AM,Midway-Sunset,,Bremer,SENTINEL PEAK RESOURCES CA LLC,,0,0,0,394,7305,72e841e8-718e-4ba0-aa09-77f1bc98d2ab
04030090650000,9/1/2010 12:00:00 AM,Kern River,KERN RIVER,D & D A,CHEVRON USA INC,KERN RIVER,0,0,0,50,178,ba0700ed-9b57-4f03-800e-66911933df04
04029508160000,1/1/2000 12:00:00 AM,Kern River,KERN RIVER,Kern County Land Co. Lease 39,CHEVRON USA INC,KERN RIVER,0,0,0,0,12255,0b99ee85-fca0-41bc-bc3a-883463954362
04029508160000,5/1/1977 12:00:00 AM,Kern River,KERN RIVER,Kern County Land Co. Lease 39,CHEVRON USA INC,KERN RIVER,0,0,0,0,11700,0b99ee85-fca0-41bc-bc3a-883463954362
04030205490000,3/1/2011 12:00:00 AM,Midway-Sunset,,Lilly Fee,AERA ENERGY LLC,,0,0,0,125,3823,95f4f891-f4c2-43be-b672-715bb940feaf
04030497650000,9/1/2015 12:00:00 AM,Cymric,TULARE,,CHEVRON USA INC,TULARE,0,0,0,929,20587,d52afa68-281c-4cb1-94a4-c9d8e4fa0653
04030415980000,6/1/2011 12:00:00 AM,Cymric,TULARE,,CHEVRON USA INC,TULARE,0,0,0,532,5135,a3253113-6c83-431b-ae7e-7c91bfbba936
04029852380000,7/1/2015 12:00:00 AM,Midway-Sunset,,Formax East,BERRY PETROLEUM COMPANY LLC,,0,0,0,0,9134,75c75c0a-8a01-4ef0-9c3a-f916547468ac
